nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-toelichting,GGM-target-guid,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-type,GEMMA-guid,GEMMA-source-guid,GEMMA-target-guid,datum-tijd-export,GGM-guid,GGM-source-guid
268,bovenliggende activiteit,,Association,nan,{8BE600D0-EBF4-475b-8801-F387A5D39009},bovenliggende activiteit,nan,nan,association-relationship,fdf3d9e6-ff4f-48c3-a2cf-7cea7c0668f3,8deec5da-a06a-4159-9b20-e9f9ff24674e,8deec5da-a06a-4159-9b20-e9f9ff24674e,18022026-151638,,
269,gerelateerde activiteit,,Association,nan,{8BE600D0-EBF4-475b-8801-F387A5D39009},gerelateerde activiteit,nan,nan,association-relationship,1d7b5c35-7559-47bf-a405-aa2fe13b7db9,8deec5da-a06a-4159-9b20-e9f9ff24674e,8deec5da-a06a-4159-9b20-e9f9ff24674e,18022026-151638,,
270,is opgenomen in,,Association,,{A744FAF8-16B7-4e5d-9C10-203AA8E7C440},,,,,,,,18022026-151638,,
271,werkingsgebied,,Association,,{79284529-B817-4e3f-BE51-AEAFC60BDE44},,,,,,,,18022026-151638,,
272,is gerelateerd,,Association,,{A744FAF8-16B7-4e5d-9C10-203AA8E7C440},,,,,,,,18022026-151638,,
273,heeft idealisatie,,Association,,{4942AB0A-804B-4043-BD3C-7F65E2D697E0},,,,,,,,18022026-151638,,
274,werkingsgebied,,Association,,{A744FAF8-16B7-4e5d-9C10-203AA8E7C440},,,,,,,,18022026-151638,,
275,heeft thema,,Association,,{55FC829A-906B-4cb7-87D7-5BBAE59E07A8},,,,,,,,18022026-151638,,
276,bevat,,Association,,{A744FAF8-16B7-4e5d-9C10-203AA8E7C440},,,,,,,,18022026-151638,,
277,betreft eerder verzoek,,Association,nan,{B18119D9-5BF8-498f-B9D3-ECCE7A770012},betreft eerder verzoek,nan,nan,association-relationship,9eb51299-aa34-4636-88b9-aa2ca582ae2e,6f0e6db2-3ca2-48db-a370-9aacdfcd4c29,6f0e6db2-3ca2-48db-a370-9aacdfcd4c29,18022026-151638,,
