nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-guid,GEMMA-type,datum-tijd-export,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-url,GEMMA-alternate-name,GGM-toelichting
44,Objectrelatierol,,Enumeration,,{0D0C34BC-D054-45b0-BDB6-3F32F65E51CB},,Vastgoed,,,id-0d0c34bc-d054-45b0-bdb6-3f32f65e51cb,Data object,21022024-11:03:02,,,,,,,,
45,TypeAdresseerbaarObject,,Enumeration,,{3DD4320F-CA3A-40c9-BB16-40064717EC8B},,Vastgoed,,,id-3dd4320f-ca3a-40c9-bb16-40064717ec8b,Data object,21022024-11:03:02,,,,,,,,
46,Zakelijkrecht,,Enumeration,,{0B6706E7-4CF8-42d8-90EA-BDD1F5588D3F},,Vastgoed,,,id-0b6706e7-4cf8-42d8-90ea-bdd1f5588d3f,Data object,21022024-11:03:02,,,,,,,,
47,Bedrijf,,Class,,{1D4A982F-DA6E-408a-A0C9-60F3D5FE2008},,Financien,,,,,21022024-11:03:02,,,,,,,,
48,Activa,Bezittingen van een onderneming op een boekhoudkundige balans,Class,,{7B8D0A8F-07BF-42bf-90B3-28A72BD4401A},,Financien,,,id-7b8d0a8f-07bf-42bf-90b3-28a72bd4401a,Business object,21022024-11:03:02,,,,,,,,
49,Activasoort,Typering van activa,Class,,{2483BD14-7FA7-4514-A565-C7F7967E226D},,Financien,,,id-2483bd14-7fa7-4514-a565-c7f7967e226d,Data object,21022024-11:03:02,,,,,,,,
50,Bankafschrift,Overzicht van de bij- en afschrijvingen van een rekening,Class,,{FC698CC3-7A64-4991-A751-B3B2A5DF77E3},,Financien,,,id-fc698cc3-7a64-4991-a751-b3b2a5df77e3,Data object,21022024-11:03:02,,,,,,,,
51,Bankafschriftregel,Een item op het bankafschrift,Class,,{764CE125-55C1-480d-90BA-745484CF3FC0},,Financien,,,id-764ce125-55c1-480d-90ba-745484cf3fc0,Data object,21022024-11:03:02,,,,,,,,
52,Bankrekening,Een rekening-courant bij een bank,Class,,{D87012E0-D2EB-4333-AD6C-1E43E6857304},,Financien,,,id-d87012e0-d2eb-4333-ad6c-1e43e6857304,Business object,21022024-11:03:02,,,,,,,,
53,Batch,Verzameling van posten die in het kader van automatische verwerking een logisch geheel vormen. ,Class,,{A784A0ED-4451-4a92-B7C8-ABE528BA898F},,Financien,,,id-a784a0ed-4451-4a92-b7c8-abe528ba898f,Business object,21022024-11:03:02,,,,,,,,Bijvoorbeeld alle betalingen die op een dag ter verwerking in de computers aangeboden worden.
54,Batchregel,Een item uit een batch,Class,,{9F935C8B-5B7C-4ce4-9360-04A91F4F70CC},,Financien,,,id-9f935c8b-5b7c-4ce4-9360-04a91f4f70cc,Business object,21022024-11:03:02,,,,,,,,
55,Begroting,Een overzicht van de verwachte ontvangsten en voorziene uitgaven voor een bepaalde (meestal toekomstige) periode zodat hier een afstemming tussen plaats kan vinden om eventuele tekorten en overschotten vroegtijdig in kaart te kunnen brengen. ,Class,,{C95CF400-8487-4ff3-B475-CA1E01EBCA78},,Financien,,,id-c95cf400-8487-4ff3-b475-ca1e01ebca78,Business object,21022024-11:03:02,,,,,,,,
56,Begrotingregel,Een item op de begroting,Class,,{87964E36-9FEE-4b8f-A053-C4EDAF000646},,Financien,,,id-87964e36-9fee-4b8f-a053-c4edaf000646,Business object,21022024-11:03:02,,,,,,,,Een begrotingsregel betreft #. een combinatie van hoofdstuk met optioneel doelstelling met optioneel product of #. een kostenplaats met 1 of meer hoofdrekeningen
57,Debiteur,Iemand aan wie een dienst of product geleverd is waardoor recht op een vergoeding is ontstaan,Class,Schuldenaar,{E74D0D46-66EB-4deb-A540-7AB08E95F956},,Financien,,,id-e74d0d46-66eb-4deb-a540-7ab08e95f956,Business object,21022024-11:03:02,,,,,,,,
58,Doelstelling,Een op korte of middellange termijn nagestreefde situatie,Class,,{2FFE3BAD-CB0E-43ea-A435-FD693B9255C3},,Financien,,,id-2ffe3bad-cb0e-43ea-a435-fd693b9255c3,Data object,21022024-11:03:02,,,,,,,,
59,Factuur,Schriftelijke rekening of nota voor de geleverde zaken of verrichte diensten.,Class,,{E1DA56C3-6ECA-4ec9-8CF4-FC57E1C43102},,Financien,,,id-e1da56c3-6eca-4ec9-8cf4-fc57e1c43102,Business object,21022024-11:03:02,,,,,,,,
60,Factuurregel,Een item op de factuur,Class,,{65E960EA-CC92-4af1-AF2B-B4625FA6AEA0},,Financien,,,id-65e960ea-cc92-4af1-af2b-b4625fa6aea0,Data object,21022024-11:03:02,,,,,,,,
61,Hoofdrekening,is kostensoort,Class,,{0EEAF579-3F47-4551-B9F9-7367280EB3EB},,Financien,,,id-0eeaf579-3f47-4551-b9f9-7367280eb3eb,Business object,21022024-11:03:02,,,,,,,,
62,Hoofdstuk,Onderdeel van een langere tekst.,Class,,{FFAA30D3-91C2-44aa-B52D-B21C51DB0326},,Financien,,,id-ffaa30d3-91c2-44aa-b52d-b21c51db0326,Business object,21022024-11:03:02,,,,,,,,
63,Inkooporder,Een opdracht (gezien vanuit de klant) voor één of meer leveringen door de leverancier aan die klant van een bepaalde hoeveelheid gespecificeerde goederen en/of diensten onder overeengekomen leveringsvoorwaarden en prijzen.,Class,,{A91E9C27-C4FA-4e1b-A4FF-8AE74ED9B7EB},,Financien,,,id-a91e9c27-c4fa-4e1b-a4ff-8ae74ed9b7eb,Business object,21022024-11:03:02,,,,,,,,
64,Kostenplaats,Rekening waaraan boekingen in een financiële administratie samen worden toegeschreven.,Class,,{D90E822D-7EF8-4ea6-AF5C-4A4362577941},,Financien,,,id-d90e822d-7ef8-4ea6-af5c-4a4362577941,Business object,21022024-11:03:02,,,,,,,,
