,naam,definitie,uml-type,ggm-guid,ggm-source-guid,ggm-target-guid,toelichting,archimate-type,gemma-guid,gemma-source-guid,gemma-target-guid,datum-tijd-export
501,,,Generalization,{95BB643E-8174-4680-9551-3503B188F7AC},{5772BEBB-97FA-42a9-B70D-DB55EAD6D1EE},{CA19D17F-3EB7-459d-9883-16F0C0B5D35E},,,,,,25102023-07:53:00
502,,,Association,{46AF6669-9D59-4e76-8C80-708A791D9650},{FF448272-AB9D-4ec9-B4BE-E60E2552817A},{CA19D17F-3EB7-459d-9883-16F0C0B5D35E},,,,,,25102023-07:53:00
503,verwijst naar,,Association,{BAAFCCC5-405C-4687-9597-83869A6CADA2},{44F0CC4A-59AF-44a8-AF0B-FF204C93E829},{CA19D17F-3EB7-459d-9883-16F0C0B5D35E},,,,,,25102023-07:53:00
504,verwijst naar,,Association,{61D0E955-9090-448b-A8ED-DE2806AE80A2},{9AEA61EB-86B2-49cc-B3EB-F40C9235B68C},{CA19D17F-3EB7-459d-9883-16F0C0B5D35E},,,,,,25102023-07:53:00
505,Is,Een INGEZETENE is een specialisatie van OBJECT.,Association,{93320AED-D823-4ac6-BD19-2C55AFE2D453},{91F9D39E-0322-42c6-AE7F-5027B36F3EC3},{CA19D17F-3EB7-459d-9883-16F0C0B5D35E},,,,,,25102023-07:53:00
506,,,Generalization,{A589113E-6865-4318-9B25-A339169D7B02},{7B9EDDFD-57F7-4ff2-938F-FDFA3B503DA8},{CA19D17F-3EB7-459d-9883-16F0C0B5D35E},,,,,,25102023-07:53:00
507,gegenereerd door,,Association,{6FA08DA1-3608-413b-BB96-7C6E57D04D0C},{4B32C511-77E9-4ABD-8C02-6F9F336A7A9},{DBE739FD-EBC4-4650-8A2B-714294A63A73},,,,,,25102023-07:53:00
508,gegenereerd door,,Association,{0FDD5ACC-8DFF-4160-B713-ADBE554DAD6B},{E4EEBD4D-A41E-4c9d-8099-CDA45BFF0056},{4B32C511-77E9-4ABD-8C02-6F9F336A7A9},,,,,,25102023-07:53:00
509,gegenereerd door,,Association,{EF57AC68-D09C-4941-A675-6A6B3FF10C6C},{E4EEBD4D-A41E-4c9d-8099-CDA45BFF0056},{E89ECEBE-796F-4CB7-9E9F-860EBC21B4B},,,,,,25102023-07:53:00
510,gegenereerd door,,Association,{AAF78D58-50E2-4312-84C4-882D2B56C890},{E4EEBD4D-A41E-4c9d-8099-CDA45BFF0056},{6B8DBBFB-03D7-4FD7-BBAB-3E7FBE60D97},,,,,,25102023-07:53:00
511,volgens,,Association,{5D16A414-E379-4c92-8D49-24D7B0D2BE18},{B825D33A-6DCE-4263-A031-E6E92C4EE86B},{73090FF8-12FD-471e-80FD-DBFB2FF97D7B},,,,,,25102023-07:53:00
512,uitvoering op,,Association,{C5D894AE-7CD9-4d0e-9FCB-306AF2F5A4BA},{B825D33A-6DCE-4263-A031-E6E92C4EE86B},{E2448A6D-3AE0-4884-AD5C-215A9E7166DE},,,,,,25102023-07:53:00
513,valt binnen,,Association,{A7553E9F-B5BC-4bba-8ECA-55ECD6379F2C},{1CB4051D-B78A-48f0-AE3E-A98D997A5612},{209ACADD-34C7-4dc8-90AD-C6B3E092FBFD},,,,,,25102023-07:53:00
514,soort,,Association,{210DF58C-2B9A-4384-B330-79C2B6CC8280},{1CB4051D-B78A-48f0-AE3E-A98D997A5612},{FF448272-AB9D-4ec9-B4BE-E60E2552817A},,,,,,25102023-07:53:00
515,soort,,Association,{0A546271-B26F-46d3-879F-2A9EB756A642},{209ACADD-34C7-4dc8-90AD-C6B3E092FBFD},{FF448272-AB9D-4ec9-B4BE-E60E2552817A},,,,,,25102023-07:53:00
516,bevat,,Association,{D0AD7ED8-AC12-423d-AE20-567432B9F842},{27219A32-3B52-4f54-AA67-A972F4B7D9D0},{339ACCD5-1D13-4a48-83DE-05A0A4A54C43},,,,,,25102023-07:53:00
517,bevat,,Association,{6D09D9CB-DC86-45d7-A405-29ED9513F0ED},{27219A32-3B52-4f54-AA67-A972F4B7D9D0},{5E5C58AD-1634-4656-A183-EBA00F18F30E},,,,,,25102023-07:53:00
518,bevat,,Association,{8D39515C-5C16-48dd-84E1-C30F381C17CB},{339ACCD5-1D13-4a48-83DE-05A0A4A54C43},{5E5C58AD-1634-4656-A183-EBA00F18F30E},,,,,,25102023-07:53:00
519,betreft,,Association,{8A63FBB4-9361-4b85-A66C-FBD554919BDC},{653EEEA7-ED82-427d-BD72-86C847793AD6},{5E5C58AD-1634-4656-A183-EBA00F18F30E},,,,,,25102023-07:53:00
