"nr","naam","definitie","uml-type","ggm-guid","bron","domein-iv3","archimate-type","toelichting","gemma-guid","synoniemen","domein-dcat","domein-gemma","datum-tijd-export"
"829","Stremming","Situatie waarbij de doorstroming van het (vaar)wegverkeer plaatselijk is geblokkeerd als gevolg van een incident","Class","{999725EE-737F-410e-906B-9865EBED3597}","","Verkeer","Business object","","id-999725ee-737f-410e-906b-9865ebed3597","","","","28062023-11:06:06"
"830","Stremmingstatus","","Enumeration","{94230A7B-8876-4a0b-B660-424E397045B2}","","Verkeer","Data object","","id-94230a7b-8876-4a0b-b660-424e397045b2","","","","28062023-11:06:06"
"831","Strijdigheid / nietigheid","","Class","{85741CBC-594C-43f9-A2B5-C50166F1A461}","","Metagegevens","Data object","","id-85741cbc-594c-43f9-a2b5-c50166f1a461","","","","28062023-11:06:06"
"832","Strooidag","Dag waarop op wegen gestrooid wordt ter voorkoming van gladheid","Class","{E2448A6D-3AE0-4884-AD5C-215A9E7166DE}","","Verkeer","Data object","","id-e2448a6d-3ae0-4884-ad5c-215a9e7166de","","","","28062023-11:06:06"
"833","Strooiroute","Traject waarop het strooien plaatsvindt","Class","{73090FF8-12FD-471e-80FD-DBFB2FF97D7B}","","Verkeer","Business object","","id-73090ff8-12fd-471e-80fd-dbfb2ff97d7b","","","","28062023-11:06:06"
"834","Strooiroute Uitvoering","De route die uiteindelijk is gevolgd voor het strooien ","Class","{B825D33A-6DCE-4263-A031-E6E92C4EE86B}","","Verkeer","Data object","","id-b825d33a-6dce-4263-a031-e6e92c4ee86b","","","","28062023-11:06:06"
"835","Studentenwoningen","Een woning waar uitsluitend (meerdere) studenten (of soms ook werkende jongeren) een woongemeenschap vorme","Class","{98C74EAB-3411-4d1a-8321-FF30567B6877}","","Ruimte","Business object","","id-98c74eab-3411-4d1a-8321-ff30567b6877","Studentenhuis","","","28062023-11:06:06"
"836","Stuwgebied","Een deelgebied van een bemalingsgebied waarvan de afvoer via een stuwput of stuwriool wordt beperkt.","Class","{CEF4E497-01A1-4B4F-A509-D18945A3311}","","Ruimte","Business object","","id-cef4e497-01a1-4b4f-a509-d18945a3311","","","","28062023-11:06:06"
"837","SubProductType","","Class","{0DB447E3-B31B-4f07-8E35-7E77D0AAEF80}","","Vergunningverlening, Toezicht en Handhaving","Data object","","id-0db447e3-b31b-4f07-8e35-7e77d0aaef80","","","","28062023-11:06:06"
"838","Subrekening","Ondergeschikte rekening van een hoofdrekening","Class","{1EC60172-CB6B-40c9-9818-C7A708C8540E}","","Financien","Data object","","id-1ec60172-cb6b-40c9-9818-c7a708c8540e","","","","28062023-11:06:06"
"839","Subsidie","Aan derden toegekende financi√´le middelen, bestemd voor het uitvoeren van bepaalde activiteiten","Class","{FD701A55-6865-44aa-9A73-C46E02481796}","https://aquo.begrippenxl.nl/aquo/nl/page/Id-255a35d2-ab3b-4281-b079-b12f750861a7","Subsidies","Business object","","id-fd701a55-6865-44aa-9a73-c46e02481796","","","","28062023-11:06:06"
"840","Subsidieaanvraag","Aanvraag voor een subsidie","Class","{26C0D33A-B15A-4256-A5BF-5382A4E03539}","","Subsidies","Business object","","id-26c0d33a-b15a-4256-a5bf-5382a4e03539","","","","28062023-11:06:06"
"841","Subsidiebeschikking","Besluit over het al dan niet toekennen van een subsidie","Class","{F8BD6D83-D3F8-4dd3-B12E-22A991D1A0A2}","","Subsidies","Business object","","id-f8bd6d83-d3f8-4dd3-b12e-22a991d1a0a2","","","","28062023-11:06:06"
"842","Subsidieniveau","","Enumeration","{B4CF1D3E-D000-467d-A9D5-4519704F4A6D}","","Subsidies","Data object","","id-b4cf1d3e-d000-467d-a9d5-4519704f4a6d","","","","28062023-11:06:06"
"843","Subsidieprogramma","Programma waarin meerdere subsidies worden verleend vanuit een bepaalde samenhang","Class","{8F1A719D-C89A-4194-8FF4-1F3E0F174D3D}","","Subsidies","Business object","","id-8f1a719d-c89a-4194-8ff4-1f3e0f174d3d","","","","28062023-11:06:06"
"844","Subsidieproject","Project bekostigd vanuit een toegekende subsidie","Class","{BAB49C65-1242-4d28-A088-115A8EE4053F}","","Subsidies","Business object","","id-bab49c65-1242-4d28-a088-115a8ee4053f","","","","28062023-11:06:06"
"845","Taak (Ruimte)","Een samenhangende set activiteiten.","Class","{0621D6BE-A680-4aad-890D-78684F2266B0}","","Ruimte","Data object","","id-0621d6be-a680-4aad-890d-78684f2266b0","","","","28062023-11:06:06"
"846","Taak (Subsidies)","Een samenhangende set activiteiten.","Class","{156C82B1-2641-40c8-9E99-60031643C29A}","","Subsidies","Business object","","id-156c82b1-2641-40c8-9e99-60031643c29a","","","","28062023-11:06:06"
"847","Taakveld (Financien)","Een samenhangend geheel van activiteiten en taken en hangt onder een programma.","Class","{E81C0FA0-2203-489a-98E9-32F1CB200E75}","https://buren.begroting-2020.nl/p11385/wat-is-een-taakveld","Financien","Data object","Een taakveld kan verbonden zijn aan een strategische opgave. Dat betekent dat het budget voor de activiteiten die nodig zijn om de opgave uit te voeren daar te vinden zijn.","id-e81c0fa0-2203-489a-98e9-32f1cb200e75","","","","28062023-11:06:06"
"848","Taakveld (Griffie)","Een samenhangend geheel van activiteiten en taken en hangt onder een programma.","Class","{01E83CEC-D69D-47eb-9BAB-252AABADDD18}","","Griffie","Data object","","id-01e83cec-d69d-47eb-9bab-252aabaddd18","","","","28062023-11:06:06"
"849","Taalniveau","Het duiden van bepaald gebruik en begrijpelijkheid van een taal. Het is er om verschil in taalvaardigheid te kunnen meten.","Class","{74DF3CC8-5890-4e02-9B11-57FF82F26EA4}","","Participatie","Data object","","id-74df3cc8-5890-4e02-9b11-57ff82f26ea4","","","","28062023-11:06:06"
"850","Tarief (Generiek Jeugd en Wmo)","Hoogte van een bedrag voor een bepaald product of dient","Class","{57F01465-EE56-4c33-9BD9-8DB351A2C530}","","Generiek Jeugd en Wmo","Data object","","id-57f01465-ee56-4c33-9bd9-8db351a2c530","","","","28062023-11:06:06"
"851","Tarief (Generiek Jeugd en Wmo)","Hoogte van een bedrag voor een bepaald product of dient","Class","{484A326C-B5EC-4010-94F0-73B74AD494E8}","","Generiek Jeugd en Wmo","Business object","","id-484a326c-b5ec-4010-94f0-73b74ad494e8","","","","28062023-11:06:06"
"852","Team","Een groep personen die door middel van samenwerking een gezamenlijk doel nastreeft, waarbij de teamleden afhankelijk van elkaar zijn om het doel te bereiken.","Class","{909A4134-4697-481e-9110-6386D0F6CAAD}","","Generiek Jeugd en Wmo","Business object","","id-909a4134-4697-481e-9110-6386d0f6caad","","","","28062023-11:06:06"
"853","Tegenprestatie","Verplichting die tegenover een prestatie staat","Class","{B3F6F6D2-5054-484d-A0C4-A95EF6FA5AD2}","","Participatie","Business object","","id-b3f6f6d2-5054-484d-a0c4-a95ef6fa5ad2","","","","28062023-11:06:06"
"854","Tegenprestatiehoogte","De hoogte van de tegenprestatie","Class","{7A514B8D-7161-4334-8202-41DD00A65E8A}","","Participatie","Data object","","id-7a514b8d-7161-4334-8202-41dd00a65e8a","","","","28062023-11:06:06"
"855","Telefoniegegevens","Gegevens die worden bewaard van telefoongesprekken","Class","{DDD2167F-4A0F-468b-894E-6BB9ED9DA5E0}","","ICT","Business object","","id-ddd2167f-4a0f-468b-894e-6bb9ed9da5e0","","","","28062023-11:06:06"
"856","Telefoononderwerp","","Class","{48FE13A9-2204-4631-BAEE-E2D3B10E9A2D}","","Dienstverlening","Business object","","id-48fe13a9-2204-4631-baee-e2d3b10e9a2d","","","","28062023-11:06:06"
"857","Telefoonstatus","<ul>
 <li>ABANDONEDALERTING: “Opgehangen tijdens overgaan telefoon”</li>
 <li>DROPPEDCANCELED: “Opgehangen door systeem”</li>
 <li>ABANDONEDQUEUED: “Opgehangen tijdens wachten, zonder boodschap. ”</li>
 <li>CONNECTEDDIRECT: “Direct verbonden”</li>
 <li>CONNECTEDQUEUEDANNOUNCE: “Verbonden na wachtrij met boodschap”</li>
 <li>AbandonedQUEUEDANNOUNCE: “Opgehangen in wachtrij met boodschap”</li>
 <li>DroppedBusy: “Opgehangen door systeem, te druk”</li>
 <li>REJECTED: “Geweigerd door systeem”</li>
 <li>Droppedoverload: “Opgehangen door systeem vanwege overbelasting”</li>
</ul>","Class","{D8A82A45-03C3-44d5-AF32-3138A55B2E75}","","Dienstverlening","Data object","","id-d8a82a45-03c3-44d5-af32-3138a55b2e75","","","","28062023-11:06:06"
"858","Telefoontje","De telefoontjes zijn alle keren dat iemand naar de gemeente belt en het telefoonsysteem neemt deze telefoontjes aan. Ongeacht of iemand daarna ophangt, door het systeem uit de wachtrij wordt gezet, doorverbonden wordt met een derde partij of er werkelijk wordt opgenomen.     ","Class","{EEB60E10-C244-4176-AB68-F0E30759269F}","","Dienstverlening","Business object","","id-eeb60e10-c244-4176-ab68-f0e30759269f","","","","28062023-11:06:06"
"859","TENAAMSTELLING","Een TENAAMSTELLING  vormt de relatie tussen een Recht en een Persoon en geeft aan welk recht, met uitzondering van hypotheek en beslag, door een Persoon wordt uitgeoefend op een Kadastraal object. ","Class","{2651D6E0-6AC8-43a8-A4F6-4706209BAC8E}","https://www.gemmaonline.nl/index.php/Informatiemodel_Zaken_(RGBZ)","RSGB Model","Business object","","id-2651d6e0-6ac8-43a8-a4f6-4706209bac8e","","","","28062023-11:06:06"
