nr,GEMMA-naam,GGM-naam,GEMMA-guid,GGM-guid,GEMMA-type,GGM-uml-type,GEMMA-definitie,GGM-definitie,GEMMA-toelichting,GGM-toelichting,GEMMA-source-guid,GGM-source-guid,GEMMA-target-guid,GGM-target-guid,Datum-tijd-export
658,is,is,7176d435-c8b9-4425-9c64-3331ca2611b0,{CE20BFC0-F092-4cef-853B-695F355221B6},association-relationship,Association,,,,,6e591734-ef9a-4858-bca1-f924c1aef7b0,{98CB3C6F-588B-479f-9A2B-F5D5362DD17C},cad45b80-14d3-4a0c-a906-0c1614dc9570,{9DF5AC43-3673-4b9a-BB5E-6DCA7BE28835},18062026-11:55:11
659,heeft,heeft,d92b1d77-f9dd-4b4f-931e-cc46acc841aa,{7E93A04F-3844-49ba-B1AB-F26D73012118},association-relationship,Association,,,,,6e591734-ef9a-4858-bca1-f924c1aef7b0,{98CB3C6F-588B-479f-9A2B-F5D5362DD17C},378dab8d-1135-40b8-9ed5-3591a89c75c2,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},18062026-11:55:11
660,is,is,22bbe26b-edb4-4b65-8143-b59f43a73ba4,{16819B21-09BC-4882-9D17-6BDA1FAE308F},association-relationship,Association,,,,,6e591734-ef9a-4858-bca1-f924c1aef7b0,{98CB3C6F-588B-479f-9A2B-F5D5362DD17C},db373678-134a-4333-9d49-e86faf5ce531,{5772BEBB-97FA-42a9-B70D-DB55EAD6D1EE},18062026-11:55:11
661,hoort bij,hoort bij,08d8664d-52d5-4c34-822b-e983e81bbcf9,{97901C7A-E07B-49af-828A-2F0E03C8E795},association-relationship,Association,,,,,1364056c-dc25-4855-a75f-eb523f012b02,{475E24C9-CC9A-49cc-AB80-8CA0221441E5},378dab8d-1135-40b8-9ed5-3591a89c75c2,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},18062026-11:55:11
662,is,is,53ecde49-38a0-4808-a637-8d87e23964fd,{BAB2F0D0-9317-45c8-A353-9989968728B6},association-relationship,Association,,,,,6e591734-ef9a-4858-bca1-f924c1aef7b0,{98CB3C6F-588B-479f-9A2B-F5D5362DD17C},d0eb8d8b-25c9-4eef-9dc6-4a773d8899a7,{7B9EDDFD-57F7-4ff2-938F-FDFA3B503DA8},18062026-11:55:11
663,,heeft,,{E5CC9977-A6A5-4d53-B7F5-394A7C56235C},,Association,,,,,,{B9B82B25-5D7F-4d2b-84F9-4DF74525EEAD},,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},18062026-11:55:11
664,behandelt,behandelt,9b9e9e7c-3ace-4c6b-ac50-7c5b43854360,{5A64B46B-96A6-4f1c-B92A-44B925160E61},association-relationship,Association,,,,,378dab8d-1135-40b8-9ed5-3591a89c75c2,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},34b2e5f9-63ab-42e8-bfa9-85e12ff6e417,{73FB5212-40ED-40dc-B837-36588840445A},18062026-11:55:11
665,heeft,heeft,2363ef36-35c9-4a18-8200-4df22492d661,{4A5F49E9-B2F8-4ee3-AFE4-963CAF4FB6F4},association-relationship,Association,,,,,ea768404-3043-48bc-b0dc-143abc8806d6,{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},34b2e5f9-63ab-42e8-bfa9-85e12ff6e417,{73FB5212-40ED-40dc-B837-36588840445A},18062026-11:55:11
666,hoort bij,hoort bij,2364b739-148b-4a4b-8513-545fe9521e84,{1C2E6D7B-B9F0-48a9-9EB6-C68727E25A65},association-relationship,Association,,,,,857327b0-3ab3-4578-869d-7b390aa1e3d3,{331C4A0B-1505-4945-A0B0-DCD8703AB50F},34b2e5f9-63ab-42e8-bfa9-85e12ff6e417,{73FB5212-40ED-40dc-B837-36588840445A},18062026-11:55:11
667,is,is,fd5dc934-a2fe-4333-9cda-365498227e51,{85F0446A-CB6B-456e-91A6-3CA8C45D2550},association-relationship,Association,,,,,db373678-134a-4333-9d49-e86faf5ce531,{5772BEBB-97FA-42a9-B70D-DB55EAD6D1EE},ccf78bc5-8d4a-440f-a642-abcf60149628,{F1E55DC7-0F33-40ea-8713-2E1AC3D7EE8D},18062026-11:55:11
668,,,68ea0039-4e39-431e-af6b-eac3c6337736,{29CBC16D-7D9B-469a-8641-EC4ABE5C3795},association-relationship,Association,,,,,ea768404-3043-48bc-b0dc-143abc8806d6,{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},ccf78bc5-8d4a-440f-a642-abcf60149628,{F1E55DC7-0F33-40ea-8713-2E1AC3D7EE8D},18062026-11:55:11
669,is,is,dd1b461d-f7be-4086-a3b8-3316e9e28938,{BE36E0F8-0D39-41ce-BE5D-9723DCE88E81},association-relationship,Association,,,,,ccf78bc5-8d4a-440f-a642-abcf60149628,{F1E55DC7-0F33-40ea-8713-2E1AC3D7EE8D},cd27cd50-1721-4870-a292-ea0f24d1ada4,{9F4E12E4-B228-4931-AC83-1B1F60958A89},18062026-11:55:11
670,is,is,2238668e-a5b3-4ebd-97da-5ee3f7a82b2f,{09E484E1-ACD5-4340-B916-371787D426CF},association-relationship,Association,,,,,ccf78bc5-8d4a-440f-a642-abcf60149628,{F1E55DC7-0F33-40ea-8713-2E1AC3D7EE8D},d0eb8d8b-25c9-4eef-9dc6-4a773d8899a7,{7B9EDDFD-57F7-4ff2-938F-FDFA3B503DA8},18062026-11:55:11
671,,heeft,,{6CA0E96C-37E6-4bed-87B2-D060CCE29539},,Association,,,,,,{DAF09055-A5A6-4ff4-A158-21B20567B296},,{A0F8E790-518A-4717-88C2-1143DE9F944A},18062026-11:55:11
672,,betreft,,{E8182EBD-8772-4d5f-96BF-423FD95F7F36},,Association,,,,,,{C6DA2586-C0E3-4868-93E8-64AF6D118092},,{DAF09055-A5A6-4ff4-A158-21B20567B296},18062026-11:55:11
673,,opgepaktIn,,{992CBE57-218F-42d1-8495-76BC51827E3A},,Association,,,,,,{C6DA2586-C0E3-4868-93E8-64AF6D118092},,{1AA67F0D-3B94-48a3-A037-A2ACC6D61CF0},18062026-11:55:11
674,,heeft,,{614E37B8-40E2-4a6d-B8B9-1A4939BAE27E},,Association,,,,,,{1AA67F0D-3B94-48a3-A037-A2ACC6D61CF0},,{C7000EFD-826C-4e47-BD80-075A6EF4E558},18062026-11:55:11
675,,verzondenDoor,,{5CCE8C02-FBA7-405f-A9F1-4DF3182B7437},,Association,,,,,,{C6DA2586-C0E3-4868-93E8-64AF6D118092},,{3643CF44-EFAA-4939-9AEB-ACA8D8EE11F9},18062026-11:55:11
676,,opgepaktNamens,,{3A702009-0E61-4756-AD68-959F192FA31A},,Association,,,,,,{1AA67F0D-3B94-48a3-A037-A2ACC6D61CF0},,{EA6F820F-C458-4b24-8055-5C2CC76F5904},18062026-11:55:11
677,,opgepaktDoor,,{EB0C17C7-84CB-4130-93A0-B58E06C70982},,Association,,,,,,{1AA67F0D-3B94-48a3-A037-A2ACC6D61CF0},,{3D5CCB29-91E4-458e-8BCD-6741198E45B8},18062026-11:55:11
678,,contactpersonen,,{98E54A02-6094-44ba-927B-2F06691C90BD},,Association,,,,,,{3109FEF3-A1CB-4f50-800B-376A18465F9F},,{A629ED5F-E919-6316-A279-92891F2325BB},18062026-11:55:11
679,,,,{FE9C4793-57C5-48fe-964E-358BFA3B3EF2},,Association,,,,,,{24A45AF2-13FF-491d-9E3D-F8D8113F28E1},,{609AECDB-CFEA-4316-9541-5239A26CC069},18062026-11:55:11
680,,,,{B8F143EF-FACE-4bdc-8C94-967CCC0831E3},,Association,,,,,,{24A45AF2-13FF-491d-9E3D-F8D8113F28E1},,{F0C047DA-725B-486b-9FF3-EB60662C1895},18062026-11:55:11
