authentiek,begrip,GGM-bron,created,datum_opname,definitie,dst_class_id,dst_documentation,dst_mult_end,dst_mult_start,dst_multiplicity,dst_role,heeft_tijdlijn_geldigheid,heeft_tijdlijn_registratie,herkomst,herkomst_definitie,GGM-guid,indicatie_formele_historie,indicatie_in_onderzoek,indicatie_materiele_historie,kwaliteit,modified,mogelijk_geen_waarde,GGM-naam,order,populatie,schema_id,src_class_id,src_documentation,src_mult_end,src_mult_start,src_multiplicity,src_role,stereotype,GGM-synoniemen,GGM-toelichting,GGM-uml-type,Datum-tijd-export
,,,,,,EAID_28A6F2AC_5AB1_4f25_8876_931152CA28E0,,1,1,,,Nee,Nee,,,EAID_8C08F940_4102_401d_827A_22095920AC7F,Nee,Nee,Nee,,,Ja,betreft,,,GGM_ROOT_SCHEMA,EAID_C5AA8835_219D_4bfa_85EF_8BA45F732BCD,,-1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_5E06339C_13EE_44ca_BC40_0FC4B9DC8349,,-1,0,,,Nee,Nee,,,EAID_CB8AA91B_F488_4c76_A385_6989E086960E,Nee,Nee,Nee,,,Ja,heeft eigenaar,,,GGM_ROOT_SCHEMA,EAID_8D52E9F1_9CC9_42c6_A347_E68E29718E55,,-1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_EDC8B01F_4802_4562_BC41_C2CAD76880B6,,-1,0,,,Nee,Nee,,,EAID_C15F1759_2467_477e_8A57_60AD1EA11BD5,Nee,Nee,Nee,,,Ja,pacht,,,GGM_ROOT_SCHEMA,EAID_8D52E9F1_9CC9_42c6_A347_E68E29718E55,,-1,1,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_D90E822D_7EF8_4ea6_AF5C_4A4362577941,,1,1,,,Nee,Nee,,,EAID_A0BCF57E_3731_49c0_AC99_256F66DD032D,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_8D52E9F1_9CC9_42c6_A347_E68E29718E55,,-1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_2483BD14_7FA7_4514_A565_C7F7967E226D,,1,1,,,Nee,Nee,,,EAID_BDB6C649_731B_45d7_84A2_AA3FBE5CD679,Nee,Nee,Nee,,,Ja,is soort,,,GGM_ROOT_SCHEMA,EAID_7B8D0A8F_07BF_42bf_90B3_28A72BD4401A,,-1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_764CE125_55C1_480d_90BA_745484CF3FC0,,-1,0,,,Nee,Nee,,,EAID_0E305A12_8F68_4386_BC11_13BDBE911426,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_FC698CC3_7A64_4991_A751_B3B2A5DF77E3,,1,1,,,,,,Association,12052026-14:54:01
,,,,,,EAID_CB0A6B53_D263_459e_8C28_AD97E5552FFF,,1,0,,,Nee,Nee,,,EAID_1488955D_7866_448b_A697_E1CB459071A4,Nee,Nee,Nee,,,Ja,leidt tot,,,GGM_ROOT_SCHEMA,EAID_764CE125_55C1_480d_90BA_745484CF3FC0,,1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_FC698CC3_7A64_4991_A751_B3B2A5DF77E3,,-1,0,,,Nee,Nee,,,EAID_2A42756C_D8A3_421a_8AB5_430D80BAFEF4,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_D87012E0_D2EB_4333_AD6C_1E43E6857304,,1,1,,,,,,Association,12052026-14:54:01
,,,,,,EAID_FC488929_8721_402f_A073_1DFDB76A816E,,-1,0,,,Nee,Nee,,,EAID_2CBFE5D9_98CF_48c2_B012_8C47E8059937,Nee,Nee,Nee,,,Ja,van,,,GGM_ROOT_SCHEMA,EAID_D87012E0_D2EB_4333_AD6C_1E43E6857304,,1,1,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_FC488929_8721_402f_A073_1DFDB76A816E,,-1,0,,,Nee,Nee,,,EAID_DBB3CA78_D0F1_42b0_A19B_05524EF200C0,Nee,Nee,Nee,,,Ja,naar,,,GGM_ROOT_SCHEMA,EAID_D87012E0_D2EB_4333_AD6C_1E43E6857304,,1,1,,,,,nan,Association,12052026-14:54:01
